name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace
"R$anim.<init>()","android.support.design.R$anim.<init>().8d1afe081eadda37390e8d14a38217dc",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/design/R.java,10,1592,N,"void R$anim.<init>()(class android.support.design.R$anim *this)",0,0.00,0.00,0,0,10
"R$attr.<init>()","android.support.design.R$attr.<init>().ff5bf52218626d91410ad3aa0c3bae78",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/design/R.java,28,1592,N,"void R$attr.<init>()(class android.support.design.R$attr *this)",0,0.00,0.00,0,0,28
"R$bool.<init>()","android.support.design.R$bool.<init>().97e666340b1fd88853f13f7520affd21",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/design/R.java,312,1592,N,"void R$bool.<init>()(class android.support.design.R$bool *this)",0,0.00,0.00,0,0,312
"R$color.<init>()","android.support.design.R$color.<init>().aeac5b442d74a57d5b409a5828a68261",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/design/R.java,322,1592,N,"void R$color.<init>()(class android.support.design.R$color *this)",0,0.00,0.00,0,0,322
"R$dimen.<init>()","android.support.design.R$dimen.<init>().26c7078cfcbd91c8304066d7665bc9b6",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/design/R.java,404,1592,N,"void R$dimen.<init>()(class android.support.design.R$dimen *this)",0,0.00,0.00,0,0,404
"R$drawable.<init>()","android.support.design.R$drawable.<init>().9ecfc91c4496f9f14c6276c189709dff",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/design/R.java,513,1592,N,"void R$drawable.<init>()(class android.support.design.R$drawable *this)",0,0.00,0.00,0,0,513
"R$id.<init>()","android.support.design.R$id.<init>().dbe0487ba15070f46a73c15820f87ce3",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/design/R.java,593,1592,N,"void R$id.<init>()(class android.support.design.R$id *this)",0,0.00,0.00,0,0,593
"R$integer.<init>()","android.support.design.R$integer.<init>().2eefd0c720215387f0755eb0efffe96c",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/design/R.java,722,1592,N,"void R$integer.<init>()(class android.support.design.R$integer *this)",0,0.00,0.00,0,0,722
"R$layout.<init>()","android.support.design.R$layout.<init>().8417deb8244a2f3a79288b6eaccabb8e",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/design/R.java,731,1592,N,"void R$layout.<init>()(class android.support.design.R$layout *this)",0,0.00,0.00,0,0,731
"R$string.<init>()","android.support.design.R$string.<init>().f5259ae6d137c912548fd4ad3a9297ff",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/design/R.java,782,1592,N,"void R$string.<init>()(class android.support.design.R$string *this)",0,0.00,0.00,0,0,782
"R$style.<init>()","android.support.design.R$style.<init>().ab95a432feccb3116fbf26008336abeb",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/design/R.java,807,1592,N,"void R$style.<init>()(class android.support.design.R$style *this)",0,0.00,0.00,0,0,807
"void R$styleable.<clinit>()","android.support.design.R$styleable.<clinit>():void.524945475935f0ccbf3a3963c26d0c6f",0,0,SYMOPS TIMEOUT (334),334,0,app/build/generated/source/r/debug/android/support/design/R.java,1153,1592,N,"class java.lang.Object *void R$styleable.<clinit>()(class java.lang.String *field)",0,0.00,0.00,0,0,
"R$styleable.<init>()","android.support.design.R$styleable.<init>().5be1402c1633aca0732d9e1edffb3bd6",1,0,NONE,18,0,app/build/generated/source/r/release/android/support/design/R.java,1152,1592,N,"void R$styleable.<init>()(class android.support.design.R$styleable *this)",0,0.00,0.00,0,0,1152
